replicate,flow,date,days,instrument
1,Recomb1,7/6/20,0,NA
1,F46,7/22/20,16,LSR2
2,Recomb2,10/15/20,0,NA
2,F84,10/26/20,11,Attune
2,F101,12/3/20,49,AriaSORP
3,Recomb3,1/24/21,0,NA
3,F114,1/29/21,5,Attune
3,F116,2/2/21,9,Attune
3,F119,2/4/21,11,Attune
3,F124,2/10/21,17,Attune
3,F129,2/19/21,26,Attune
3,F130,2/26/21,33,Attune
3,F131,3/2/21,37,Attune
3,F132,3/5/21,40,Attune
4,Recomb4,11/1/22,0,NA
4,F280,11/9/22,8,Attune
4,F281,11/15/22,14,Attune
4,F282,11/19/22,18,Attune
4,F283,11/21/22,20,Attune
5,Recomb5,11/3/22,0,NA
5,F281b,11/15/22,12,Attune
5,F282b,11/19/22,16,Attune
5,F283b,11/21/22,18,Attune